category,real_name,alias,title,affiliation,citizenship,date_of_birth,date_of_death,species,gender,status,clearance,comic,game,movie,one_shot,portrayed_by,ser_no,tv_series,voiced_by,web_series
Hero,Stephen Vincent Strange,"Doctor Strange, Mr. Doctor, Doc, Stonekeeper, Time Stone Guy, Bleecker Street Magician","Doctor, Master of the New York Sanctum",Metro-General Hospital (formerly) Masters of the Mystic Arts,American,NA,Early 2017 (multiple times by Dormammu; deaths undone by the Time Stone)Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Male,Alive,NA,"Doctor Strange: Mystic Apprentice, Doctor Strange: Episode 0Avengers: Infinity War Prelude, Avengers: Endgame Prelude",NA,"Captain America: The Winter Soldier (mentioned)Doctor Strange, Thor: Ragnarok, Avengers: Infinity War, Avengers: Endgame, Spider-Man: Far From Home (mentioned)Doctor Strange in the Multiverse of Madness (unreleased)",NA,Benedict Cumberbatch,NA,NA,NA,WHiH Newsfront (mentioned)
Villain,Ashlie,Water Bottle Girl,NA,Roxxon Corporation,American,NA,NA,Human,Female,Alive,NA,NA,NA,NA,NA,Vanessa Motta,NA,Cloak & Dagger (3 episodes),NA,NA
Hero,Drax,"Drax The Destroyer, The Big Guy, The Walking Thesaurus, The Biggest Idiots in the Galaxy (with Star-Lord, Rocket Raccoon and Groot)Princess, Tough Guy, Muscle-Bound Whack-Job, Mr. Clean",NA,Guardians of the Galaxy,NA,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),NA,Male,Alive,NA,"Guardians of the Galaxy Prequel Infinite Comic, Guardians of the Galaxy Vol. 2 Prelude, Avengers: Infinity War Prelude (flashback)Avengers: Endgame Prelude",NA,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2Avengers: Infinity War, Avengers: Endgame, Guardians of the Galaxy Vol. 3 (unreleased)[1]",NA,Dave Bautista,NA,NA,NA,NA
Villain,Att-Lass,NA,NA,Starforce,Kree Imperial,NA,NA,Kree,Male,Alive,NA,NA,NA,Captain Marvel,NA,Algenis Perez Soto,NA,NA,NA,NA
Hero,Timothy Aloysius Cadwallader Dugan,Dum Dum Dugan,Sergeant,United States Army*69th Infantry Regiment (formerly) Howling Commandos (formerly),American,"April 11, 1912[1]",NA,Human,Male,Unknown,NA,"Nick Fury: Spies Like Us, Captain America: First Vengeance, Captain America: The First Avenger Adaptation",Captain America: Super Soldier,"Captain America: The First Avenger, The Avengers (flashback)Captain America: The Winter Soldier (picture)Spider-Man: Homecoming (picture)",Agent Carter,"Neal Mc, Donough",NA,Agents of S.H.I.E.L.D. (1 episode)Agent Carter (1 episode),NA,NA
Villain,Audrey Eastman,NA,NA,NA,American,NA,NA,Human,Female,Alive,NA,NA,NA,NA,NA,Jessica Hecht,NA,Jessica Jones (1 episode),NA,NA
Hero,Edwin Jarvis,"Mr. Fancy, Jeeves, Larry",NA,British Armed Forces (formerly) Stark Industries,British English,NA,NA,Human,Male,Deceased,NA,Iron Man 2: Public Identity,NA,Avengers: Endgame,NA,James D'Arcy,NA,Agent Carter (18 episodes),NA,NA
Villain,Aura,NA,NA,Church of Gibborim,American,NA,NA,Human,Female,Alive,NA,NA,NA,NA,NA,"Pat Lentz, Sarah Ann Vail (young)",NA,Runaways (8 episodes),NA,NA
Hero,Elektra Natchios (adoptive name),"The Greek Girl, Sweetheart, Ellie, Louise Badeaux, Black Sky, Vessel, Woman with the Swords, The Ultimate Weapon of the Hand, Chick in the Spandex",NA,Chaste (formerly)Columbia University (formerly)Hand,Greek,NA,November 2015 (later resurrected),Human,Female,Unknown,NA,NA,NA,NA,NA,"Élodie Yung, Lily Chee (young)",NA,Daredevil (10 episodes)The Defenders (8 episodes),NA,NA
Villain,Auran,The Assassin,Captain of the Attilan Royal Guard,Attilan Royal Guard,Attilan,NA,NA,Inhuman,Female,Alive,NA,NA,NA,NA,NA,Sonya Balmores,NA,Inhumans (8 episodes),NA,NA
Hero,Enoch Coltrane,"Single Male, Robot, Son of a Bitch, Fitz's New Friend, Metal Man, Plastic, Automaton, Weird Robot, Buddy, Advanced Computer, Player Three, Pal, Compadre, Creepy Bald Dude, Dolphin, Synth, Robot Friend, Spec of Dust In the Infinite, Afterthought in the Worm-Ridden Mind of the Black Void, Infinite Nothing, Massive Pain in the Ass, Cautionary Tale, Good Friend, Useless No Good Automaton, Absolute Worst, Synthetic, Traitor, Isaiah",Anthropologist (formerly)Hunter (undercover; formerly),Chronicom Hunters (undercover; formerly),NA,NA,2091 (alternate timeline),Chronicom,None (masculine appearance & voice),AliveDeceased (alternate timeline),NA,NA,NA,NA,NA,"Joel Stoffer, Jan Uddin (with Isaiah's skin)",NA,Agents of S.H.I.E.L.D. (17 episodes),NA,NA
Villain,Anthony Wall,AWOL,NA,LAPD,American,NA,NA,Human,Male,Unknown,NA,NA,NA,NA,NA,Myles Bullock,NA,Runaways (4 episodes),NA,NA
Hero,Eric Koenig,"Lightning Foot, Steve Rogers",Agent of S.H.I.E.L.D.,S.H.I.E.L.D.*Life-Model Decoy Program,American,NA,2014,Human,Male,Deceased,Level 6,NA,NA,NA,NA,Patton Oswalt,NA,Agents of S.H.I.E.L.D. (2 episodes),NA,NA
Villain,Ayesha,"The Ayesha Chick, Golden Gal",Golden High Priestess,Priestesses of the Sovereign,Sovereign,NA,NA,Sovereign,Female,Alive,NA,NA,NA,Guardians of the Galaxy Vol. 2Guardians of the Galaxy Vol. 3 (unreleased)[1],NA,Elizabeth Debicki,NA,NA,NA,NA
Hero,Skurge,"Janitor, Smart Boy, Executioner",Guardian of the Bifrost Bridge (formerly)Executioner of Asgard (formerly),Einherjar (formerly),Asgardian,NA,Late 2017,Asgardian,Male,Deceased,NA,NA,NA,Thor: Ragnarok,NA,Karl Urban,NA,NA,NA,NA
Villain,Baker,NA,NA,NA,NA,NA,NA,Human,Male,Alive,NA,Captain America: The Winter Soldier Infinite Comic,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Samuel Thomas Wilson,"Sam Wilson, Falcon, The Good Looking Guy with the Sunglasses, The Badass, Kid, Good Man",NA,United States Air Force (formerly)* Air National Guard (formerly)United States Department of Veterans Affairs (formerly) Avengers (formerly),American,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Male,Alive,NA,"Avengers: Age of Ultron Prelude - This Scepter'd Isle, Captain America: Civil War Prelude, Captain America: Civil War Prelude Infinite Comic, Captain America: Road to War, Spider-Man: Homecoming Prelude, Avengers: Infinity War Prelude, Ant-Man and the Wasp Prelude, Captain Marvel Prelude, Avengers: Endgame Prelude",Captain America: The Winter Soldier - The Official Game,"Captain America: The Winter Soldier, Avengers: Age of Ultron, Ant-Man, Captain America: Civil War, Avengers: Infinity War, Avengers: Endgame, Spider-Man: Far From Home (picture)",NA,Anthony Mackie,NA,The Falcon and the Winter Soldier (6 episodes; unreleased),Bumper Robinson,WHiH Newsfront (footage)
Villain,Bakuto,"Mystery Man, Piece of Garbage, Reinforcement from South America","Sensei, Master",Order of the Crane Mother (formerly)Hand,K'un-Lunan (formerly),NA,2016 (twice; resurrected first time),Human,Male,Deceased,NA,NA,NA,NA,NA,Ramón Rodríguez,NA,Luke Cage (mentioned)Iron Fist (5 episodes)The Defenders (4 episodes),NA,NA
Hero,Fandral,"Fandral the Dashing, Robin Hood",NA,Warriors Three,Asgardian,NA,Late 2017,Asgardian,Male,Deceased,NA,"Thor, The Mighty Avenger, Thor Adaptation, Thor: The Dark World Prelude, Thor: Crown of Fools, Thor: Ragnarok Prelude",Thor: God of Thunder (DS version only)Thor: The Dark World - The Official Game,"Thor, Thor: The Dark World, Thor: Ragnarok",NA,"Zachary Levi, Joshua Dallas",NA,NA,Vinnie Penna,NA
Villain,NA,Banker,NA,HYDRA,NA,NA,2015,Human,Male,Deceased,NA,NA,NA,NA,NA,Joel Polis,NA,Agents of S.H.I.E.L.D.*Aftershocks,NA,NA
Hero,Flint,"Junior, Pebbles, Bright Kid, Hot Shot, Kid Without Hair",NA,NA,Lighthouse,2074,NA,Inhuman,Male,Alive,NA,NA,NA,NA,NA,Coy Stewart,NA,Agents of S.H.I.E.L.D. (6 episodes),NA,NA
Villain,NA,Baroness,Baroness,HYDRA,NA,NA,2015,Human,Female,Deceased,NA,NA,NA,NA,NA,Kathryn Leigh Scott,NA,Agents of S.H.I.E.L.D.*Aftershocks*The Frenemy of My Enemy (mentioned),NA,NA
Hero,Frigga,"Witch, Fancy Broad, The Wisest Person in Asgard",Queen of Asgard,Asgardian Royal Family,Asgardian,NA,"November 12, 2013[1][2]",Asgardian,Female,Deceased,NA,"Thor Adaptation, Thor: The Dark World Prelude, Thor: Ragnarok Prelude, Avengers: Endgame Prelude (mentioned)",NA,"Thor, Thor: The Dark World, Thor: Ragnarok (mentioned)Avengers: Infinity War (mentioned)Avengers: Endgame",NA,Rene Russo,NA,NA,NA,NA
Villain,Basha,NA,NA,NA,NA,NA,NA,NA,Female,Alive,NA,NA,NA,NA,NA,Rya Kihlstedt,NA,Agents of S.H.I.E.L.D.*A Life Spent*A Life Earned,NA,NA
Hero,Gabriel Jones,Gabe Jones,Private,United States Army92nd Infantry Division (formerly) Howling Commandos,American,"August 14, 1918[1]",NA,Human,Male,Unknown,NA,"Captain America: First Vengeance, Captain America: The First Avenger Adaptation, Captain America & Thor: Avengers!",Captain America: Super Soldier (mentioned),"Captain America: The First Avenger, Captain America: The Winter Soldier (picture)Spider-Man: Homecoming (photo)",NA,Derek Luke,NA,Agents of S.H.I.E.L.D.*Aftershocks (picture),NA,NA
Villain,NA,The Beast,NA,NA,NA,NA,2091,NA,Male,Deceased,NA,NA,NA,NA,NA,Dave Reaves,NA,Agents of S.H.I.E.L.D.*A Life Spent,NA,NA
Hero,Gamora,"Little One, Deadliest Woman in the Galaxy, Living Weapon, Galaxy-Class Killer, Green Whore, The Hero, Murderess, Sweetheart, The Fiercest Woman in the Galaxy, Daughter of Thanos",NA,Guardians of the Galaxy (original self),NA,NA,Spring 2018[1][2][3],Zehoberei (Cyborg),Female,Deceased (original self)Alive (alternate self from 2014)[4],NA,"Guardians of the Galaxy Prequel Infinite Comic, Guardians of the Galaxy Prelude, Guardians of the Galaxy Vol. 2 Prelude, Avengers: Infinity War Prelude (flashback)Avengers: Endgame Prelude",NA,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2Avengers: Infinity War, Avengers: Endgame, Guardians of the Galaxy Vol. 3 (unreleased)",NA,"Zoe Saldana, Ariana Greenblatt (young)",NA,NA,NA,NA
Villain,Abner Jenkins,"Beetle, Ladybug, Insectoid, Bug Brain",NA,NA,NA,NA,NA,Human,Male,In Custody,NA,Spider-Man Homecoming: Fight or Flight,NA,NA,NA,NA,NA,NA,NA,NA
Hero,Gertrude Yorkes,"Gert Yorkes, Tiger, Insufferable Social Justice Warrior, Arsenic, Stray Pup, Other Person, Hermana[1]Chase Stein",NA,Atlas Academy (formerly)Runaways,American,Early 2001[2][3][4],NA,Human,Female,Alive,NA,NA,NA,NA,NA,Ariela Barer,NA,Runaways (23 episodes),NA,NA
Villain,Benjamin Poindexter,"Dex, Ben Poindexter, Kiddo, Showboat, Daredevil, Psycho, The Man Who Attacked the Bulletin, Decorated Agent, New James Wesley, The Impostor, The Fake Daredevil",Special Agent (formerly),Lyndhurst Home for Boys (formerly) United States Army (formerly)Brooklyn Suicide Prevention Center (formerly) FBI (formerly)*FBI SWAT (formerly),American,NA,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,"Wilson Bethel, Cameron Mann (young)Conor Proft (teenager)",NA,Daredevil (11 episodes),NA,NA
Hero,Roberto Reyes,"Robbie Reyes, Ghost Rider, Serial Killer, The Rider, Fire-Headed Inhuman, Carrot Top, Guy With a Flaming Head, The Man on Fire, Matchstick Guy, Fire Dude, The Other One, Burning Man, Matchstick, Flame-Headed Demon",NA,Garfield High School (formerly) Canelo's Auto and Body (formerly),American,NA,Early 2012 (later resurrected),Human,Male,Alive,NA,NA,NA,NA,NA,Gabriel Luna,NA,Agents of S.H.I.E.L.D. (10 episodes)Ghost Rider (unreleased),NA,NA
Villain,William Fisk,Bill Fisk,NA,NA,American,NA,1970s[1][2][3],Human,Male,Deceased,NA,NA,NA,NA,NA,Domenick Lombardozzi,NA,Daredevil (2 episodes),NA,NA
Hero,Glenn Talbot,"The Real Deal, The Inside Man, The Odd Couple (with Phil Coulson)One Who Can Save Us All, Earth's Mightiest Hero, The Shield, Earth's Last Hope, Earth's True Protector, Charlatan, Most Powerful Being in the Universe, Destroyer of Worlds",Colonel (formerly)Brigadier General (formerly)Head of the ATCU (formerly),"United States Air Force (formerly) ATCU (formerly) HYDRA (formerly, brainwashed)Confederacy",American,NA,Spring 2018,Human,Male,Deceased,NA,NA,The Incredible Hulk,NA,NA,Adrian Pasdar,NA,Agents of S.H.I.E.L.D. (24 episodes),Michael Gannon,NA
Villain,William Barrett Foster,Bill Foster,Doctor,S.H.I.E.L.D. (formerly)*Project G.O.L.I.A.T.H. (formerly)Berkeley University,American,NA,NA,Human,Male,Alive,NA,NA,NA,Ant-Man and the Wasp,NA,"Laurence Fishburne, Langston Fishburne (young)",NA,NA,NA,NA
Hero,Gorgon Petragon,The Guardian,Captain of Attilan Royal Guard (formerly),Inhuman Royal FamilyAttilan Royal Guard,Attilan,NA,2016[1](later resurrected),Inhuman,Male,Alive,NA,NA,NA,NA,NA,Eme Ikwuakor,NA,Inhumans (8 episodes),NA,NA
Villain,Mariah Stokes (maiden name)Mariah Dillard,"Black Mariah, Little May, Madam Councilwoman, Cuz>Empty Politician, Criminal Spinster, Baby Girl, Mama Harlem, Madam Inmate, Aunt, Ms. N***a, HRH Mariah, Her Royal Highness, May May, Black Mariah Trump, Stubborn Old Bitch, May, The Devil Made Flesh, Flamboyant Former Councilwoman, The Gun Lady of Harlem, Satan's Niece, Councilwoman of Harlem, Old Bitch, Millionaire Philanthropist, Criminal Godmother, Moolie, The Head N***a in Charge, The Witch, Infamous Harlem Matriarch, The Last Stokes",Councilwoman (formerly),New York City Council (formerly)New Harlem RenaissanceFamily First InitiativeStokes Crime FamilyHarlem's Paradise (formerly),American,NA,September 2017[1][2],Human,Female,Deceased,NA,NA,NA,NA,NA,"Alfre Woodard, Megan Miller (young)Toree Alexandre (young)",NA,Luke Cage (23 episodes) The Defenders (mentioned),NA,NA
Hero,Grant Douglas Ward,"Lincoln, Psycho Stalker, HYDRA Double Agent, Hive",Agent of S.H.I.E.L.D.Agent of HYDRA (formerly; undercover),HYDRA (formerly; undercover) S.H.I.E.L.D.,American,NA,2017,Artificial Intelligence,Male,Deleted,NA,NA,NA,NA,NA,Brett Dalton,NA,Agents of S.H.I.E.L.D. (5 episodes),NA,NA
Villain,Marcus Daniels,"Blackout, Monster",NA,NA,American,"October 11, 1972",2014,Human,Male,Deceased,NA,NA,NA,NA,NA,Patrick Brennan,FPN 084-22-1836,Agents of S.H.I.E.L.D.*Providence*The Only Light in the Darkness,NA,NA
Hero,Groot,"Baby Groot, The Giving Tree, Rocket's Personal Houseplant/Muscle, The Biggest Idiots in the Galaxy (with Star-Lord, Rocket and Drax)Angry Little Tree, Dumb Tree, Twig, Infantilized Sequoia, Little Plant, Mascot, Dumber Smaller Groot, Tree, Little Tree",NA,Guardians of the Galaxy,NA,2014 (offspring),August 2014 (original)Spring 2018 (offspring; resurrected by Hulk in 2023),Flora colossus,Male,Alive,NA,"Guardians of the Galaxy Prequel Infinite Comic, Guardians of the Galaxy Prelude, Guardians of the Galaxy: Galaxy's Most Wanted, Guardians of the Galaxy Vol. 2 Prelude, Avengers: Endgame Prelude",NA,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2Avengers: Infinity War, Avengers: Endgame",NA,"Krystian Godlewski (motion capture)James Gunn (motion capture, as Baby Groot)Sean Gunn (motion capture, as Adolescent Groot)[1]Terry Notary (motion capture)",NA,NA,Vin Diesel,NA
Villain,Donald Gill,"Donnie Gill, Blizzard",S.H.I.E.L.D. Cadet (formerly),S.H.I.E.L.D. Academy of Science and Technology (formerly) HYDRA (formerly),American,NA,NA,Human,Male,Unknown,NA,NA,NA,NA,NA,Dylan Minnette,NA,Agents of S.H.I.E.L.D.*Seeds*Making Friends and Influencing People*Aftershocks (mentioned),NA,NA
Hero,Henry Jonathan Pym,"Hank Pym, Ant-Man, Old Man, Haggard Man","Doctor, CEO of Pym Technologies (formerly)Consultant for S.H.I.E.L.D. (formerly)",United States Army (formerly) S.H.I.E.L.D. (formerly)*Project G.O.L.I.A.T.H. (formerly) Pym Technologies (formerly),American,NA,Spring 2018 (victim of the Snap; resurrected by Hulk in 2023),Human,Male,Alive,NA,"Ant-Man Prelude, Ant-Man: Larger Than Life, Ant-Man and the Wasp Prelude",NA,"Thor (mentioned)Ant-Man, Captain America: Civil War (mentioned)Ant-Man and the Wasp, Avengers: Endgame",NA,"Michael Douglas, Dax Griffin (young)John Michael Morris (young)",NA,NA,NA,WHiH Newsfront (picture)
Villain,NA,NA,Apprentice,Masters of the Mystic Arts (formerly) Zealots,NA,NA,NA,Mindless OneHuman (formerly),Female,Alive,NA,Doctor Strange Prelude - The Zealot,NA,Doctor Strange,NA,Katrina Durden,NA,NA,NA,NA
Hero,Clinton Francis Barton,"Clint Barton, Hawkeye, Greatest Living Marksman on the Planet, Tall, Dark and Unauthorized, Watchdog, The Hawk, Stick in the Mud, A Couple of Master Assassins (with Black Widow)Legolas, Honey, Old Man, Arrow Guy, Ronin, Son of Edith, Earthly Being",Agent of S.H.I.E.L.D. (formerly),S.H.I.E.L.D. (formerly)* STRIKE Team: Delta (formerly) Avengers (formerly),American,NA,NA,Human,Male,Alive,Level 7 (formerly),"The Avengers Prelude: Fury's Big Week, The Avengers Prelude: Black Widow Strikes (footage)The Avengers: The Avengers Initiative, Iron Man 3 Prelude, Thor Adaptation, Thor: The Dark World Prelude, The Avengers Adaptation, Avengers: Operation HYDRASpider-Man: Homecoming Prelude, Avengers: Infinity War Prelude, Captain Marvel Prelude (footage)",NA,"Thor, The Avengers, Avengers: Age of Ultron, Captain America: Civil War, Spider-Man: Homecoming (drawing)Avengers: Infinity War (mentioned)Avengers: Endgame, Spider-Man: Far From Home (picture)",NA,Jeremy Renner,NA,Agents of S.H.I.E.L.D. (mentioned)Hawkeye (unreleased),NA,WHiH Newsfront (footage)Team Thor (drawing)Team Thor: Part 2 (drawing)
Villain,Brian Hayward,NA,NA,United States Army HYDRA*Centipede Project,American,NA,2013,Human,Male,Deceased,NA,NA,NA,NA,NA,Paul Lacovara,NA,Agents of S.H.I.E.L.D.*The Bridge,NA,NA
Hero,Heimdall,"Gatekeeper, The Watcher of Worlds, The Protector",Gatekeeper of Asgard (formerly)Guardian of the Bifrost Bridge (formerly),NA,Asgardian,NA,Spring 2018,Asgardian,Male,Deceased,NA,"Captain America & Thor: Avengers!Thor Adaptation, Thor: The Dark World Prelude, Thor: Crown of Fools (mentioned)Thor: Ragnarok Prelude, Avengers: Endgame Prelude",Thor: God of ThunderThor: The Dark World - The Official Game,"Thor, Thor: The Dark World, Avengers: Age of Ultron (illusion)Thor: Ragnarok, Avengers: Infinity War",NA,Idris Elba,NA,Agents of S.H.I.E.L.D. (mentioned),"Phil La, Marr, Dennis Carnegie",NA
Villain,Alessa Geomi,The Bride of Nine Spiders,NA,Hand,South Korean,NA,NA,Human,Female,Alive,NA,NA,NA,NA,NA,Jane Kim,NA,Iron Fist*Immortal Emerges from Cave,NA,NA
Hero,Ho Yinsen,NA,Doctor,Cambridge University (formerly),Afghan,NA,May 2009[1][2],Human,Male,Deceased,NA,Iron Man: I Am Iron Man!,Iron ManIron Man 2 (mentioned),"Iron Man, Iron Man 3",NA,Shaun Toub,NA,NA,NA,NA
Villain,Briggs,NA,NA,Watchdogs,American,NA,NA,Human,Male,In Custody,NA,NA,NA,NA,NA,Dale Pavinski,NA,Agents of S.H.I.E.L.D.*Uprising,NA,NA
Hero,Hogun,"Hogun the Grim, Jackie Chan",NA,Warriors Three,Vanir Asgardian,NA,Late 2017,Vanir,Male,Deceased,NA,"Thor, The Mighty Avenger, Thor Adaptation, Thor: The Dark World Prelude, Thor: Crown of Fools, Thor: Ragnarok Prelude",Thor: God of Thunder (DS version only)Thor: The Dark World - The Official Game,"Thor, Thor: The Dark World, Thor: Ragnarok",NA,Tadanobu Asano,NA,NA,Ken Kensei,NA
Villain,Bron-Char,NA,NA,Starforce,Kree Imperial,NA,NA,Kree,Male,Unknown,NA,NA,NA,Captain Marvel,NA,Rune Temte,NA,NA,NA,NA
Hero,Howard Anthony Walter Stark,"The Army's Number One Weapons Contractor, America's Mustachioed Casanova, Public Enemy Number One, Cecil B. Demille, Fatty Arbuckle, Legendary Weapons Developer, Icon of America's Strength, Titan","CEO of Stark Industries, Founder of S.H.I.E.L.D.",Stark Industries SSR (formerly)Stark Pictures S.H.I.E.L.D.*Project P.E.G.A.S.U.S.,American,"August 15, 1917","December 16, 1991",Human,Male,Deceased,NA,"Iron Man: Security Measures, Iron Man: I Am Iron Man! (mentioned)Iron Man 2: Public Identity, Captain America: First Vengeance, The Avengers Prelude: Fury's Big Week (mentioned)The Avengers: Iron Man Mark VII (mentioned)Iron Man 2 Adaptation, Captain America: The First Avenger Adaptation, Ant-Man Prelude, Captain America: Civil War Prelude (mentioned)Spider-Man: Homecoming Prelude (hologram)Avengers: Infinity War Prelude (flashback)Ant-Man and the Wasp Prelude (flashback)Spider-Man: Far From Home Prelude (mentioned)",Iron Man (mentioned)Captain America: Super Soldier,"Iron Man (picture)Iron Man 2 (footage)Captain America: The First Avenger, The Avengers (mentioned)Captain America: The Winter Soldier (picture)Avengers: Age of Ultron (picture)Ant-Man, Captain America: Civil War, Spider-Man: Homecoming (picture)Avengers: Endgame",Agent Carter,"Gerard Sanders, John Slattery, Dominic Cooper",NA,Agents of S.H.I.E.L.D. (mentioned)Agent Carter (5 episodes),Liam O'Brien,WHiH Newsfront (mentioned)
Villain,NA,NA,Apprentice,Masters of the Mystic Arts (formerly) Zealots,NA,NA,NA,Mindless OneHuman (formerly),Female,Alive,NA,Doctor Strange Prelude - The Zealot,NA,Doctor Strange,NA,Zara Phythian,NA,NA,NA,NA
Hero,Robert Bruce Banner[1],"Bruce Banner, Hulk, The Incredible Hulk, Gringo, Mr. Green, Mysterious Friend, White Man at the Bottling Plant, Freak Accident, David BThe Green Guy, The Big Green Dude, The American, The Target, The Green One, The Pioneer in Gamma Radiation, The Big Guy, Doc, A Mindless Beast, Big Man, Enormous Green Rage Monster, Force of Nature on Legs, Man With Breathtaking Anger Management Issues, The Beast, The Big One, The Other Guy, Green Monster, Green Sasquatch, Big Green Guy, Mad Scientist, Jade Jaws, Green Snowman, Dull Creature, Incredible Green Guy, Grandmaster's Champion, Beloved Champion, The Defending, Stupid Avenger, Hot-Headed Fool, Real Fire, Raging Fire, Strongest Avenger, Green Fool, Fred, Big Green Asshole, Big Brain, Mr. Hulk, Big Green, Jolly Green","Doctor, Champion",Harvard University (formerly) Culver University (formerly)Pingo Doce Bottling Plant (formerly) Avengers (formerly)Revengers (formerly),AmericanSakaaran (formerly),"December 18, 1969[2]",NA,Human,Male,Alive,NA,"The Incredible Hulk: The Fury Files, The Incredible Hulk: The Big Picture, The Avengers Prelude: Fury's Big Week, The Avengers Prelude: Black Widow Strikes (computer screen)The Avengers: The Avengers Initiative (flashback)Iron Man 3 Prelude, Thor: The Dark World Prelude, The Avengers Adaptation, Avengers: Age of Ultron Prelude - This Scepter'd Isle, Avengers: Operation HYDRACaptain America: Civil War Prelude (mentioned)Thor: Ragnarok Prelude, Avengers: Infinity War Prelude (flashback)Captain Marvel Prelude (mentioned)Avengers: Endgame Prelude, Spider-Man: Far From Home Prelude (picture)",The Incredible Hulk,"The Incredible Hulk, Thor (mentioned)The Avengers, Iron Man 3 (post-credits scene)Captain America: The Winter Soldier (mentioned)Avengers: Age of Ultron, Captain America: Civil War (footage)Spider-Man: Homecoming (picture)Thor: Ragnarok, Avengers: Infinity War, Captain Marvel (mid-credits scene)Avengers: Endgame",The Consultant (mentioned),"Edward Norton, Mark Ruffalo, Taika Waititi (motion capture)",NA,Agents of S.H.I.E.L.D. (mentioned)Daredevil (picture)Jessica Jones (mentioned)Luke Cage (mentioned)Iron Fist (mentioned)The Defenders (picture) The Punisher (picture),"Lou Ferrigno, J.B. Blanc, J.D. Hall, Fred Tatasciore, Jonathan Lipow",WHiH Newsfront (mentioned)Team Thor
Villain,John McIver,"Johnny Mc, Iver, Bushmaster, Babe, The Stone the Builders Refused, Shabba Ranks, Jamaican N*gga, The Guy on TVLarge Jamaican Man, Boogeyman, The Man on Top of the Hill, John-John, Skipper, Crazed Bush N*gga, Rasta Nig, Miracle Boy, Rat, Coconut",NA,Yardies (formerly)StylersHarlem's Paradise (formerly),American Jamaican,NA,NA,Human,Male,Alive,NA,NA,NA,NA,NA,"Mustafa Shakir, Mekhi Hewling (young)",NA,Luke Cage  (11 episodes),NA,NA
Hero,Daniel Thomas Rand-K'ai,"Danny Rand, Iron Fist, The Danny Rand Wannabe, John Anderson, Protector of K'un-Lun, Destroyer of the Hand, The Living Weapon, The Immortal Iron Fist, Crazy Piece of Shit, Monastery Boy, Xiaoguilao[1]Tarzan, Insane Homeless Acrobat, Talented Bodyguard, Corporate Hero, Rich Kid from the Upper West Side, Child Touched by Fire, Guardian of the Gate, The Immortal Weapon, Protector of K'un-Lun, The Worst Iron Fist, Sack Man, Danny Boy, The Kid With A Glowing Fist, Skinny White Kid, Billionaire White Boy, Karate Kid, Boy Billionaire, The Fist, Protector of the Ancient City, The Dumbest Iron Fist, The Key to Life, The Kid, The Billionaire, Ironclad, The Barefoot Billionaire, Steve Jobs, Little Brother, Protector of Chinatown, Clown, Some Guy With A Glowing Fist, Sunshine, Blondie, Blond Friend, The Weak-Willed Pretender","The Immortal Iron Fist, Co-CEO of Rand Enterprises",Order of the Crane Mother Rand Enterprises Chikara Dojo (formerly)Defenders (formerly)Royal Al Moving (formerly),AmericanK'un-Lunan (formerly),"April 1, 1991",NA,Human,Male,Alive,NA,NA,Iron Man (mentioned),NA,NA,"Finn Jones, Toby Nichols (young)Jeremy Lanuti (young)",NA,Jessica Jones (mentioned)Luke Cage (1 episode)Iron Fist (23 episodes)The Defenders (8 episodes)Cloak & Dagger (mentioned),NA,NA
Villain,Calvin Chadwick,Cal,NA,Isodyne Energy Council of Nine,American,NA,"July 21, 1947",Human,Male,Deceased,NA,NA,NA,NA,NA,Currie Graham,NA,Agent Carter (7 episodes),NA,NA
