ranking_year,title,ranking,n_viewer,gross_profit_per_viewer,rating,synopsis,producer,director,writer,actress,release_date
2017,Warkop DKI Reborn: Jangkrik Boss Part 2,2,4083190,37000,7.5,"Meneruskan pertualangan Dono (Abimana Aryasatya), Kasino (Vino G Bastian) dan Indro (Tora Sudiro) dalam mencari harta karun untuk membayar hutang, agar mereka tidak masuk penjara. Negri Jiran, Malaysia menjadi destinasi awal. Tas berisi kode harta karun yang tertukar dengan tas milik wanita cantik asal Malaysia bernama Nadia (Fazura), membawa mereka ke berbagai macam tempat yang tak pernah terpikirkan, sampai akhirnya mereka berada di sebuah pulau angker tak berpenghuni. Di pulau tersebut mereka terpaksa berpisah dan harus berhadapan dengan hantu-hantu menyeramkan namun menggelikan.",Frederica,Anggy Umbara,"Bene Dion Rajagukguk, Anggy Umbara, Andi Awwe Wijaya","Indro Warkop, Vino G Bastian, Abimana Aryasatya, Tora Sudiro",2017-08-31
2017,Ayat Ayat Cinta 2,3,2840159,37000,6.5,"Fahri (Fedi Nuril) memilih tinggal di Edinburgh, Skotlandia. Kota yang sangat disukai Aisha, istrinya yang sudah meninggal. Fahri bekerja menjadi dosen serta peneliti di universitas ternama kota tersebut. Fahri hanya ditemani Hulusi (Pandji Pragiwaksono), asisten rumah tangganya asal Turki. Kesantunan dan keramahan sikap Fahri membuatnya disukai banyak orang, seperti Nenek Catarina (Dewi Irawan), wanita Yahudi yang tinggal tak jauh dari rumahnya. Namun ada pula  yang menentang bahkan membenci dirinya, seperti Keira (Chelsea Islan), gadis kelahiran Skotlandia yang terobsesi menjadi pemain biola terkenal. Suatu saat, Fahri bertemu dengan Hulya (Tajtana Saphira), gadis berkebangsaan Turki-Jerman yang sedang mengambil S2 dan masih memiliki hubungan keluarga dengan Aisha. Kedatangan Hulya justru memicu kenangan sedih Fahri .",Manoj Punjabi,Guntur Soeharjanto,"Alim Sudio, Ifan Ismail, Habiburrahman El Shirazy","Fedi Nuril, Tatjana Saphira, Chelsea Islan, Nur Fazura",2017-12-21
2017,Danur: I Can See Ghosts,4,2736391,37000,4,"Di hari ulang tahunnya ke-8 Risa meminta seorang teman agar ia tidak kesepian lagi. Ibunya, Elly, mendapati anaknya sering tertawa sendiri dan bermain seolah-olah dengan banyak teman. Elly mencari jalan untuk memisahkan Risa dari sahabatnya yang ternyata hantu. Dengan terpaksa teman Risa pergi dari rumah neneknya. Sembilan tahun kemudian Risa kembali ke rumah tersebut menjaga nenek bersama adiknya Riri. Kejadian-kejadian aneh dan gangguan terjadi. Puncaknya ketika Riri tiba-tiba menghilang, Risa harus menyelamatkan adiknya Riri dari hantu jahat yang berencana membawa Riri ke dunia lain.",Dian Sasmita Faisal,Awi Suryadi,"Lele Laila, Ferry Lesmana, Risa Saraswati",Prilly Latuconsina,2017-03-30
2017,Jailangkung,5,2550271,37000,5,"Tiga gadis ingin menguak misteri yang terjadi pada ayah mereka yang ditemukan koma secara misterius. Bella (Amanda Rawless) bersama kakaknya Angel (Hanna Al Rasyid), dan adiknya Tasya berusaha menemukan jawabannya dengan bantuan Rama (Jefri Nichol), teman kampus Bella yang tertarik pada hal metafisik. Seorang pilot bernama Capt Wardana (Augie Fantinus) membantu mereka. Mereka menemukan jailangkung yang membuka rahasia gelap di masa lalu dan kini membahayakan nyawa mereka.","Sukhdev Singh, Wicky V Olindo","Jose Poernomo, Rizal Mantovani",Baskoro Adi Wuryanto,"Amanda Rawles, Jefri Nichol, Hannah Al Rashid, Gabriella Quinlyn",2017-06-25
2017,Susah Sinyal,6,2172512,37000,7,"Ellen (AdiniaWirasti), pengacara sukses dan single mom, jarang bisa meluangkan waktu bagi anak tunggalnya Kiara (Aurora Ribero), yang tumbuh sebagai remaja pemberontak yang lebih banyak melampiaskan emosinya di media sosial. Mereka tinggal bersama Agatha (Niniek L Karim), ibu Ellen yang sangat menyayangi Kiara.Ketika Agatha meninggal terkena serangan jantung, Kiara yang sejak kecil sangat dekat dengan neneknya terguncang. Psikolog menganjurkan Ellen untuk mengajak Kiara berlibur. Mereka pun pergi ke Sumba. Kiara pulang dengan hati riang. Di Jakarta, Ellen langsung disambut masalah besar di kantor. Proyek besar yang ia tangani bersama Iwan (Ernest Prakasa) terancam berantakan. Ellen tidak menepati janjinya untuk menonton Kiara tampil di perlombaan talent show antarSMA.Kiara marah dan pergi ke Sumba sendirian, tempat ia bisa merasakan secercah kebahagiaan. ","Chand Parwez Servia, Fiaz Servia",Ernest Prakasa,"Ernest Prakasa, Meira Anastasia","Adinia Wirasti, Ernest Prakasa, Aurora Ribero, Refal Hady, Valerie Thomas",2017-12-21
2017,Surga Yang Tak Dirindukan 2,7,1637472,37000,7.5,"Empat tahun setelah perpisahan Prasetya (Ferdi Nuril), Arini (Laudy Cinthya Bella), dan Meirose (Raline Shah), Arini mendapat undangan ke Budapest untuk memberikan lokakarya dan promo bukunya. Karena Prasetya masih sibuk dengan proyeknya, maka ia menyusul kemudian. Arini tidak menduga bahwa di Budapest, dia bertemu dengan Meirose dan Akbar (Keefe Bazli Ardiansyah). Meirose hidup bersama ayah kandungnya dan memutuskan kontaknya dengan siapa pun di Indonesia. Meirose bahkan berniat meminta diceraikan secara resmi oleh Pras. Pertemuan dengan Arini membuat Meirose menjadi ragu dengan pilihan hidupnya. Arini begitu tulus menyayangi dirinya dan Akbar, dan berharap agar Meirose kembali pada Pras. Apalagi ketika Pras muncul, Meirose bingung. Muncul juga dokter Syarief (Reza Rahardian) di tengah-tengah persoalan mereka.",Manoj Punjabi,Hanung Bramantyo,"Alim Sudio, Hanung Bramantyo, Manoj Punjabi, Asma Nadia","Laudya Cynthia Bella, Fedi Nuril, Raline Shah, Reza Rahadian, Tanta Ginting",2017-02-09
2017,Mata Batin,8,1282557,37000,7,"Alia (Jessica Mila) memutuskan untuk meninggalkan Bangkok dan kembali ke Jakarta begitu kedua orang tuanya meninggal. Ia dan Abel (Bianca Hello), adiknya yang masih remaja, pindah ke rumah masa kecil mereka yang jauh dari tengah kota. Abel tidak menyukai rumah itu. Katanya, di sana ada ‘yang lain’. Alia dan Davin (Denny Sumargo), pacar Alia, tidak pernah menghiraukan Abel. Tapi sikap Abel semakin mengkhawatirkan. Merasa harus menolong Abel, Alia berniat untuk membawa Abel ke psikiater. Tapi Abel menolak dan ia bilang kalau ia bisa melihat ‘mereka yang sudah mati’ karena mata batinnya sudah terbuka sejak kecil. Abel mengajak Alia menemui Bu Windu (Citra Prima), paranormal yang selama ini membantu Abel. Ingin membuktikan semua hal yang baginya tidak masuk akal ini, Alia meminta Bu Windu untuk membuka mata batinnya. Perlahan-lahan, Alia mulai mengalami kejadian-kejadian yang tidak biasa. Ia mulai melihat sosok yang tidak bisa dilihat orang lain. ‘Mereka’ mengganggunya dan membahayakan Alia dan Abel. Bu Windu dimintai bantuan.",Rocky Soraya,Rocky Soraya,"Riheam Junianti, Fajar Umbara","Jessica Mila, Denny Sumargo, Citra Prima",2017-11-30
2017,The Doll 2,9,1226864,37000,6,"Maira dan Aldo hidup berbahagia dengan Kayla, anak mereka yang masih kecil, dan juga Yani, pembantu mereka. Sebuah kecelakaan tragis merenggut nyawa Kayla dan membuat kebahagian mereka hilang. Enam bulan kemudian, tepat di hari ulang tahun Kayla, Maira mulai merasakan bahwa ia tidak sendirian. Maira merasa bahwa Kayla masih belum benar-benar pergi. Atas saran Elsa, sahabatnya, Maira mencoba untuk berkomunikasi kepada Kayla dengan mengunakan medium boneka Sabrina, boneka kesayangan Kayla. Sejak itu Maira mulai merasa terganggu dan meyakini bahwa Kayla yang mengganggunya. Aldo tidak percaya padanya. Tapi Maira yakin Kayla sekarang berada dalam boneka Sabrina dan ia ingin menyampaikan sesuatu kepada Maira. Maira minta bantuan Bu Laras dan Bagas, paranormal yang pernah mengatasi kasus yang mirip beberapa tahun yang lalu. Bu Laras yakin, ini akan lebih buruk dari sebelumnya dan Maira harus siap menghadapi apapun yang akan terjadi.","Rocky Soraya, Ram Soraya",Rocky Soraya,"Riheam Junianti, Fajar Umbara, Rocky Soraya","Luna Maya, Herjunot Ali, Sara Wijayanto, Maria Sabta, Ira Ilva Sari, Rydhen Afexi",2017-07-20
2017,Surat Cinta untuk Starla the Movie,10,1218317,37000,7.5,"Hema, yang terobsesi pada alam, memiliki keunikan: membuat surat cinta untuk alam. Dengan mesin tik tua peninggalan sang kakek, mantan jurnalis, dia membuat mural yang menunjukkan betapa cintanya pada alam. Alam adalah satu-satunya cinta yang dikenalnya. Hingga suatu saat Hema mengenal Starla, gadis cantik dan mandiri yang selama enam jam berhasil membuatnya jatuh cinta. Untuk pertama kalinya Hema menyadari ada surat cinta yang lebih indah daripada surat cinta untuk alam yaitu surat cinta untuk Starla. Namun, di saat Hema dan Starla semakin dekat, tiba tiba sikap Starla berubah. Starla marah dan menjauhi Hema bahkan menyuruh Hema melupakan kisah mereka yang menjadi viral di sosial media bahkan disiarkan di radio oleh Athena, sahabat Hema. Hema baru mengetahui penyebab perubahan sikap Starla: sebuah rahasia masa lalu keluarga Hema.","Sukhdev Singh, Wicky V Olindo",Rudi Aryanto,"Sukhdev Singh, Tisa TS","Jefri Nichol, Caitlin Halderman",2017-12-28
2017,Sweet 20,11,1044045,37000,6.5,"Fatmawati (Niniek L Karim), nenek 70 tahun cerewet, tinggal bersama putranya Aditya (Lukman Sardi), dosen, menantunya Salma (Cut Mini), dan dua cucu (Kevin Julio, Alexa Key). Fatmawati selalu membanggakan Aditya, sampai saat mengetahui akan dikirim ke panti jompo. Hal ini membuatnya sangat terpukul dan pergi dari rumah. Di perjalanan ia melihat studio foto “Forever Young”, dan berniat mengambil foto untuk pemakamannya kelak. Setelah berfoto, Fatmawati berubah menjadi 50 tahun lebih muda. Fatmawati pun memulai kehidupan yang baru dan mengganti namanya menjadi Mieke, seperti nama artis idolanya Mieke Wijaya. Mieke mendapat kesempatan untuk meraih mimpinya menjadi penyanyi, sesuatu yang tidak bisa dilakukannya saat muda dulu. Keunikan Mieke dengan gaya bicara dan seleranya yang masih seperti nenek 70 tahun, justru membuat tiga pria jatuh hati padanya: produser musik (Morgan Oey), cucu laki-lakinya, dan Hamzah (Slamet Rahardjo) yang mencintainya sejak sama-sama muda dulu. Suatu peristiwa terjadi. Mieke harus memilih untuk melanjutkan kehidupan barunya, atau kembali menjadi Fatmawati.",Chand Parwez Servia,Ody C Harahap,Upi,"Tatjana Saphira, Niniek L Karim, Morgan Oey, Kevin Julio, Slamet Rahardjo",2017-06-25
2017,Critical Eleven,12,881530,37000,8,"Ale dan Anya, pasangan muda yang bertemu dan saling terpikat dalam penerbangan Jakarta-Sydney. Pertemuan itu membawa mereka ke jenjang pernikahan, dan membuat keduanya mengambil keputusan besar karena pengorbanan yang harus dilakukan salah satu dari mereka: pindah ke New York. Kota ini membawa berkah: kehamilan Anya yang mengubah hidup mereka. Ale dan Anya diterjang sebuah insiden yang membuat mereka tidak hanya mempertanyakan cinta, namun juga bergumul dengan ego dan harus memilih: menyerah dalam amarah atau menyembuhkan luka dan bertahan dalam ketidakpastian. Pilihan sulit itu bertambah pelik dengan kehadiran seseorang yang sudah lama mencintai Anya.","Chand Parwez Servia, Robert Ronny","Monty Tiwa, Robert Ronny","Jenny Jusuf, Monty Tiwa, Robert Ronny, Ika Natassa","Adinia Wirasti, Reza Rahadian, Widyawati Sophiaan, Refal Hady, Dwi Sasono",2017-05-10
2017,London Love Story 2,13,862874,37000,6,"Caramel (Michelle Ziudith) sangat bahagia karena Dave (Dimas Anggara) memberinya hadiah liburan ke Swiss untuk merayakan ulang tahunnya. Saat mereka akan berangkat dari London, tiba-tiba Dave tidak bisa berangkat. Sesampainya di Swiss, Sam (Ramzi) yang menjemput Caramel dan membawa Caramel makan malam di sebuah resto terbaik di kota Zurich. Caramel sangat terkesan. Kebahagiaan Caramel menikmati hari pertamanya di Swiss, terganggu karena kemunculan Gilang (Rizky Nazar), chef sekaligus cucu pemilik restoran di Swiss. Gilang meminta Caramel untuk menemuinya di sebuah restoran. Gilang memberikan sebuah hadiah untuk Caramel. Gilang meminta Caramel menemuinya lagi keesokan harinya.","Sukhdev Singh, Wicky V Olindo",Asep Kusdinar,"Sukhdev Singh, Tisa TS","Dimas Anggara, Michelle Ziudith, Rizky Nazar",2017-03-02
2017,Insya Allah Sah,14,833010,37000,5.5,"Ketika datang ke kantor Dion, tunangannya, Silvi terjebak dalam lift dengan Raka, pemuda religius, lugu, dan terkesan aneh, yang bekerja untuk Dion. Takut kalau hal ini akan menjadi akhir hidupnya, Silvi bernazar, apabila selamat, ia akan mengubah hidupnya menjadi wanita muslimah yang taat pada perintah Allah. Ternyata, sedetik setelah ia mengucapkan nazar itu, pintu lift terbuka. Sejak itu Silvi selalu dibayangi Raka  yang selalu mengingatkan janji Silvi di lift. Dan setelah beberapa musibah yang tiba-tiba menyerang Silvi, Rakalah yang akhirnya menolongnya sampai Silvi menemukan ketetapan hatinya. Namun belum tentu Dion setuju dengan nazar Silvi. ",Manoj Punjabi,Benni Setiawan,"Benni Setiawan, Achi TM","Pandji Pragiwaksono, Titi Kamal, Richard Kyle",2017-06-25
2017,Surat Kecil untuk Tuhan,15,715361,37000,6,"Kakak beradik yatim piatu, Anton dan Angel, terjebak dalam sindikat yang memanfaatkan anak-anak terlantar untuk menjadi pengemis jalanan. Suatu hari Angel mengalami kecelakaan. Ketika sadar, ia seorang diri di rumah sakit. Sejak saat itulah Angel terpisah dari Anton. 15 tahun kemudian, di Sydney, Australia. Berkat keluarga angkatnya yang baik hati, Angel (Bunga Citra Lestari) tumbuh menjadi perempuan cantik dan pandai. Ia berhasil mewujudkan mimpinya menjadi pengacara. Angel bertemu dengan Martin (Joe Taslim) dokter muda asal Indonesia yang membuatnya jatuh cinta. Hidupnya kini diliputi kebahagiaan. Tapi meski demikian Angel tetap dihantui masa lalunya. Ia tidak pernah bisa berhenti memikirkan Anton. Di tengah rencananya untuk menikah dengan Martin, Angel kembali ke Jakarta untuk menyelesaikan masa lalunya: mencari keberadaan sang abang.",Frederica,Fajar Bustomi,"Upi, Fajar Bustomi","Bunga Citra Lestari, Joe Taslim",2017-06-25
2016,Warkop DKI Reborn: Jangkrik Boss! part 1,1,6858616,35000,6.5,"Dono (Abimana Aryasatya), Kasino (Vino G Bastian) dan Indro (Tora Sudiro) kembali beraksi di tengah hiruk pikuknya Jakarta. Mereka sekali lagi berperan sebagai personel sebuah Lembaga Swasta yang bernama CHIIPS (Cara Hebat Ikut-Ikutan Penanggulangan Sosial).",Frederica,Anggy Umbara,"Bene Dion Rajagukguk, Andi Awwe Wijaya, Anggy Umbara","Indro Warkop, Vino G Bastian, Abimana Aryasatya, Tora Sudiro",2016-09-08
2016,Ada Apa Dengan Cinta 2,2,3665509,35000,5,"Cinta dan Rangga yang saling mencintai, terpisahkan 14 tahun lalu. Kini, Rangga dan Cinta mendapatkan kesempatan untuk kembali bertemu. Akankah ini menjadi kesempatan kedua untuk mereka kembali bersama? Apalagi hidup mereka tidak lagi sesederhana dulu.",Mira Lesmana,Riri Riza,"Mira Lesmana, Prima Rusdi","Dian Sastrowardoyo, Nicholas Saputra, Adinia Wirasti, Titi Kamal, Sissy Prescillia, Dennis Adhiswara",2016-04-28
2016,My Stupid Boss,3,3052657,35000,7,Cerita tentang hubungan kerja antara Boss yang absurd dengan karyawannya. “Bossman” (Reza Rahadian) adalah orang Indonesia yang memiliki perusahaan di Kuala Lumpur. Perusahaannya itu tidak memiliki sistim dan aturan yang jelas. Dan biang kerok dari semua kekacauan itu justru Bossman sendiri. Tapi Bossman memiliki semboyan “Bossman Always Right!”. Dan jika sudah ada maunya harus terwujud. Prinsipnya “Imposible We Do Miracle We Try”. Diana (Bunga Citra Lestari) terpaksa terikat dalam hubungan kerja yang kacau setiap saat. ,Frederica,Upi,"Upi, Chaos@work","Bunga Citra Lestari, Reza Rahadian, Nadiya Nisaa",2016-05-19
2016,Cek Toko Sebelah,4,2642957,35000,8,"Erwin (Ernest Prakasa) menikmati karir gemilang di usia muda, dan punya kekasih cantik yang tak kalah sukses, Natalie (Gisella Anastasia). Tapi, semua jadi pelik saat Koh Afuk (Chew Kin Wah) yang kesehatannya makin memburuk, ingin mewariskan toko sembakonya kepada Erwin, anak kesayangannya. Karena itu, Yohan (Dion Wiyoko) kakak Erwin, naik pitam karena dilangkahi. Sebagai anak sulung yang merasa lebih perhatian pada orangtuanya, Yohan yakin ia dan istrinya, Ayu (Adinia Wirasti), adalah yang paling berhak meneruskan toko tersebut. Sayangnya, Koh Afuk sulit mempercayai Yohan yang selalu memberontak.","Chand Parwez Servia, Fiaz Servia",Ernest Prakasa,"Ernest Prakasa, Meira Anastasia","Ernest Prakasa, Chew Kin Wah, Gisella Anastasia, Dion Wiyoko, Adinia Wirasti",2016-12-28
2016,Hangout,5,2620644,35000,7,"Sembilan tokoh publik, Raditya Dika, Prilly Latuconsina, Soleh Solihun, Titi Kamal, Dinda Kanya Dewi, Bayu Skak, Gading Marten, Surya Saputra, dan Mathias Muchus, mendapat undangan untuk hangout alias kongkow di sebuah villa di pulau terpencil oleh sosok misterius bernama Pak Sumarsono. Tujuannya membicarakan sebuah proyek besar. Masalah muncul pada malam pertama, ketika Mathias Muchus mati diracun di hadapan mereka semua. Perahu baru akan menjemput mereka lima hari lagi. Mereka terjebak di pulau tersebut. Berusaha untuk bertahan hidup, mereka malah mati satu per satu. Ketika tinggal berempat, salah seorang dari mereka, Bayu Skak, berhasil menemukan siapa pembunuhnya, yang ternyata adalah salah satu dari mereka. Belum sempat Bayu memberitahukan ke yang lainnya, dia mati dalam kamarnya.",Gope T Samtani,Raditya Dika,Raditya Dika,"Raditya Dika, Prilly Latuconsina, Titi Kamal, Surya Saputra, Mathias Muchus, Dinda Kanya Dewi, Gading Marten, Bayu Skak, Soleh Solihun",2016-12-22
2016,{rudy habibie},6,2012025,35000,8,Kisah masa muda Rudy Habibie sebelum dikenal sebagai teknokrat dan presiden Republik Indonesia Ke-3: BJ Habibie.,Manoj Punjabi,Hanung Bramantyo,"Gina S Noer, Hanung Bramantyo, BJ Habibie","Reza Rahadian, Chelsea Islan, Ernest Prakasa, Indah Permatasari, Pandji Pragiwaksono, Boris Bokir",2016-06-30
2016,Koala Kumal,7,1863541,35000,4.5,"Dika (Raditya Dika) baru saja batal menikah, karena pacarnya, Andrea (Acha Septriasa), selingkuh dengan James (Nino Fernandez). Patah hatinya membuat Dika kesulitan menulis bab terakhir bukunya. Suatu hari, Dika bertemu dengan Trisna (Sheryl Sheinafia), cewek unik yang membuat pandangan Dika terhadap dunia menjadi berbeda.","Chand Parwez Servia, Fiaz Servia",Raditya Dika,Raditya Dika,"Raditya Dika, Sheryl Sheinafia, Acha Septriasa",2016-07-05
2016,Comic 8: Casino Kings Part 2,8,1835644,35000,3.5,"Ke delapan agen rahasia (Arie Kriting, Babe Cabiita, Bintang Bete, Ernest Prakasa, Fico Fachriza, Ge Pamungkas, Kemal Palevi, Mongol) yang memakai nama samaran “Comic 8” kembali beraksi.",Frederica,Anggy Umbara,"Anggy Umbara, Fajar Umbara","Mongol Stres, Ernest Prakasa, Kemal Palevi, Bintang Timur, Babe Cabiita, Fico Fachriza, Arie Kriting, Ge Pamungkas, Indro Warkop, Donny Alamsyah",2016-03-03
2016,ILY from 38.000 Ft,9,1574576,35000,5,"Aletta (Michelle Ziudith) terbang ke Bali untuk berlibur dan bertemu dengan Arga (Rizky Nazar) 20 tahun. Arga adalah mahasiswa sekaligus pencipta program dengan bendera Geography Channel. Arga bertanya berapa lama Aletta liburan. Aletta menjawab, sebenarnya pergi ke Bali bukan untuk liburan kabur dari rumah. “Dari kecil aku dibesarkan oleh orang tuaku. Tumbuh dari air susu ibuku. Tapi, saat aku besar, mereka nggak kasih hal yang paling penting dalam hidupku, yaitu hak untuk memilih dan memutuskan apa yang terbaik untuk hidup aku.”","Sukdev Singh, Wicky V Olindo",Asep Kusdinar,"Sukdev Singh, Tisa TS","Michelle Ziudith, Rizky Nazar",2016-07-05
2016,London Love Story,10,1124876,35000,3.5,"Popularitas Dave (Dimas Anggara) di kalangan para mahasiswa tidak dapat menutupi kekosongan hatinya, sejak ia ditinggalkan oleh satu-satunya cewek yang dicintainya. Suatu malam ketika pulang dari pesta ulang tahun temannya, dia bertemu dengan seorang cewek yang berusaha bunuh diri: Adelle (Adila Fitri), Dave berusaha meyakinkan apa yang dilakukan sia-sia. Hal ini membuat cewek yang ditolongnya jatuh cinta padanya.","Sukhdev Singh, Wicky V Olindo",Asep Kusdinar,"Sukhdev Singh, Tisa TS","Michelle Ziudith, Dimas Anggara, Adila Fitri, Dion Wiyoko",2016-02-04
2016,Headshot,11,732763,35000,7.5,"Seorang lelaki tanpa nama (Iko Uwais)  mengalami amnesia setelah cedera kepala. Dirawat oleh Ailin, mahasiswa magang dokter, ia diberi nama “Ismail” seperti nama tokoh di Moby Dick. Ia berhasil memulihkan ingatannya. Masa lalunya menghantuinya dalam bentuk Lee (Sunny Pang), raja narkotik dan bos sebuah gang yang jangkauannya hingga ke tubuh kepolisian dan sistem pengadilan. Ketika Ailin diculik dan Ismail berusaha membebaskannya, ia harus berhadapan dengan sebarisan petarung jagoan, yang merupakan kawan-kawannya sendiri. Pertarungan demi pertarungan memunculkan fragmen-fragmen masa lalunya bersamaan dengan terkuaknya teka-teki identitasnya.","Mike Wiluan, Sukhdev Singh, Wicky V Olindo, Shinjiro Nishimura",Mo Brothers,Timo Tjahjanto,"Iko Uwais, Julie Estelle, Sunny Pang",2016-12-08
2016,Sabtu Bersama Bapak,12,639530,35000,7.5,"Gunawan memiliki seorang istri, Itje, dan dua anak kecil: Satya dan Cakra. Hidup mereka berubah ketika Gunawan tahu hanya memiliki satu tahun lagi untuk hidup. Gunawan memutuskan, kematian tak boleh membatasinya dari menyayangi kedua anak. Ia membuat banyak rekaman berisikan pesan-pesan untuk kedua anaknya. Setelah Gunawan berpulang, Itje, sang istri memutuskan agar kedua anak dapat bertemu sang bapak satu kali seminggu, setiap hari Sabtu.",Ody Mulya Hidayat,Monty Tiwa,"Adhitya Mulya, Monty Tiwa","Abimana Aryasatya, Ira Wibowo, Arifin Putra, Deva Mahenra, Acha Septriasa, Sheila Dara Aisha",2016-07-05
2016,Bulan Terbelah di Langit Amerika 2,13,582487,35000,8,"Hanum (Acha Septriasa) dan Rangga (Abimana Aryasatya) berniat kembali ke Wina setelah menunaikan tugasnya, tapi boss Hanum memberi tugas baru: menelusuri jejak misterius harta karun para pelaut muslim China yang berlayar ke Amerika jauh sebelum Colombus. Untuk itu Hanum dan Rangga terbang ke San Francisco. Hanum minta bantuan Azima Hussein (Rianti Cartwright) karena ia punya sumber terpercaya untuk menemukan bukti-bukti tersebut. Tanpa mereka sadari, bahaya mengincar dari pemburu harta karun. Di sisi lain, Azima dan anaknya, Sarah Hussein (Hailey Franco), tengah kalut karena penolakan ibunya (Ira Wibowo) yang belum bisa menerima keislaman putrinya, dan tidak menyadari ada rahasia dalam fragmen kehidupannya. Sementara itu, Stefan (Nino Fernandez) dihimpit masalah putus cinta dengan Jasmine (Hannah Al Rashid) yang tengah hamil.",Ody Mulya Hidayat,Rizal Mantovani,"Hanum Salsabiela Rais, Rangga Almahendra, Alim Sudio, Baskoro Adi","Acha Septriasa, Abimana Aryasatya, Nino Fernandez, Rianti Cartwright, Hannah Al Rashid",2016-12-08
2016,Talak 3,14,567917,35000,4,"Setelah resmi beberapa bulan bercerai, rumah kredit  Bagas dan Risa terancam disita bank. Mereka berdua terpaksa harus bersama-sama mengerjakan sebuah proyek yang hasilnya bisa menyelamatkan kondisi keuangan mereka. Masalahnya, pekerjaan menuntut keduanya harus bersama. Dalam proses pengerjaan proyek tersebut, muncul kembali benih cinta di antara mereka. Mereka pun memutuskan untuk rujuk kembali.","Hanung Bramantyo, Karan Mahtani","Hanung Bramantyo, Ismail Basbeth","Bagus Bramanti, Wahana Penulis, Salman Aristo","Laudya Cynthia Bella, Vino G Bastian, Reza Rahadian",2016-02-04
2016,The Doll,15,550252,35000,4.5,"Anya dan Daniel pindah ke sebuah rumah di Bandung dan siap menjalani kehidupan baru mereka. Tanpa sengaja, Daniel membawa pulang sebuah boneka dari lokasi proyek tempat ia bekerja di Jalan Siliwangi. Boneka tersebut ada di atas pohon yang kemudian ditebang untuk keperluan proyek real estatenya.",Rocky Soraya,Rocky Soraya,"Riheam Junianti, Rocky Soraya","Shandy Aulia, Denny Sumargo, Sara Wijayanto",2016-10-27
2015,Surga yang Tak Dirindukan,1,1523617,35000,8,"Pernikahan Arini (Laudya Cynthia Bella) dan Pras (Fedi Nuril) mendatangkan kebahagiaan dengan hadirnya Nadia, putri mereka. Pras yang baik dan setia selalu menenangkan Arini. Berbagai kisah perselingkuhan di sekelilingnya, termasuk sahabat dekatnya, tidak sekalipun mengusik kepercayaan Arini terhadap sang suami. Arini pun berusaha mengabdikan diri sepenuh hati sebagai ibu dan istri.",Manoj Punjabi,Kuntz Agus,"Alim Sudio, Team MD, Asma Nadia","Fedi Nuril, Laudya Cynthia Bella, Raline Shah",2015-07-15
2015,Single,2,1351324,35000,6.5,"Ebi (Raditya Dika) seorang pemuda naif dan belum mempunyai pekerjaan. Ebi juga single forever yang belum pernah pacaran. Setiap kali mendekati perempuan, Ebi selalu saja ditolak.",Sunil Soraya,Raditya Dika,"Raditya Dika, Sunil Soraya, Donny Dhirgantoro","Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabiita",2015-12-17
2015,Comic 8: Casino Kings part 1,3,1211820,35000,3.5,"Delapan agen rahasia di bawah pimpinan Indro Warkop ditugaskan untuk menyamar menjadi komika demi mencari seorang komika yang menjadi penghubung ke master kriminal yang bernama The King, pemilik kasino paling spektakuler di Asia.",Frederica,Anggy Umbara,"Anggy Umbara, Fajar Umbara","Mongol Stres, Ernest Prakasa, Kemal Palevi, Bintang Timur, Babe Cabiita, Fico Fachriza, Arie Kriting, Ge Pamungkas, Indro Warkop",2015-07-15
2015,Bulan Terbelah di Langit Amerika,4,917865,35000,7,"Setelah mendapat kiriman email video seorang gadis berjudul “Do you know my dad?”, Hanum (Acha Septriasa), jurnalis yang bekerja di sebuah kantor berita Wina, diberi tugas untuk menulis artikel provokatif  berjudul “Apakah dunia lebih baik tanpa Islam?”.",Ody Mulya Hidayat,Rizal Mantovani,"Hanum Salsabiela Rais, Rangga Almahendra, Alim Sudio, Baskoro Adi","Acha Septriasa, Abimana Aryasatya, Nino Fernandez, Rianti Cartwright, Hannah Al Rashid",2015-12-17
2015,Magic Hour,5,859705,35000,3.5,"Kisah cinta antara Dimas, Raina, Gwenny, dan Toby. Dimas yang awalnya dijodohkan dengan Gwenny, berbalik mencintai Raina. Meski Raina memiliki perasaan sama kepada Dimas, namun dia tetap merasa bersalah dengan Gwenny, karena Raina dan Gwenny adalah sahabat lama. Mereka berdua sudah seperti saudara kandung. Di sisi lain, sahabat kecilnya, Toby, juga menaruh perasaan sama kepada Raina.","Sukhdev Singh, Wicky V Olindo",Asep Kusdinar,"Sukhdev Singh, Tisa TS, Stanley Meulen","Dimas Anggara, Michelle Ziudith, Rizky Nazar, Nadia Arina, Maevaa Amin",2015-08-13
2015,Ngenest,6,785786,35000,6.5,Nasib menentukan  Ernest (Kevin Anggara/Ernest Prakasa) lahir di sebuah keluarga Cina. Ia tumbuh di masa Orde Baru saat diskriminasi terhadap etnis Cina masih kental. Bullying menjadi makanan sehari-hari.,"Chand Parwez Servia, Fiaz Servia",Ernest Prakasa,"Ernest Prakasa, Jenny Jusuf","Ernest Prakasa, Lala Karmela, Morgan Oey, Kevin Anggara, Brandon Salim, Bene Dion",2015-12-30
